overflow 1ms,,,
,over 200us,over 500us,over 1ms
729,0.082106,0.00602,0.004356
730,0.083868,0.006256,0.004592
731,0.092926,0.01451,0.013317
732,0.081524,0.004592,0.002885
733,0.082606,0.006048,0.00437
734,0.079013,0.001554,0.000555
735,0.081149,0.003468,0.002372
736,0.079193,0.001873,0.000888
737,0.08452,0.005951,0.004342
738,0.07997,0.003731,0.002552
739,0.095145,0.010834,0.006977
740,0.078957,0.005202,0.004328
741,0.075573,0.000791,0.000652
742,0.084756,0.006672,0.004841
743,0.076183,0.001262,0.000902
744,0.078111,0.005313,0.004314
745,0.078291,0.003357,0.002636
746,0.245944,0.076655,0.037703
747,0.075476,0.000721,0.000541
748,0.094327,0.009502,0.005576
749,0.077085,0.005327,0.004314
750,0.07929,0.005216,0.00412
751,0.095784,0.012554,0.0086
752,0.076197,0.000874,0.000666
753,0.075059,0.003565,0.002539
754,0.080941,0.008032,0.006325
755,0.080761,0.005701,0.004328
756,0.088335,0.016133,0.014967
757,0.079568,0.005757,0.004647
758,0.078749,0.003981,0.00276
759,0.084617,0.002774,0.001651
760,0.077681,0.003898,0.002871
761,0.084631,0.005604,0.003773
762,0.07825,0.003357,0.002747
763,0.110279,0.017353,0.005549
764,0.077043,0.00326,0.002622
765,0.07671,0.000957,0.000694
766,0.083396,0.006977,0.00566
767,0.077889,0.001054,0.000818
768,0.076946,0.001193,0.000749
769,0.396715,0.154155,0.076225
770,0.159413,0.026564,0.016355
771,0.081135,0.003593,0.002719
772,0.096782,0.004702,0.002067
773,0.098072,0.010681,0.006755
774,0.074629,0.000763,0.000513
775,0.078097,0.005035,0.004161
776,0.080969,0.006964,0.005743
777,0.074796,0.000749,0.000569
778,0.077237,0.002871,0.002317
779,0.077667,0.002955,0.002247
780,0.082827,0.006145,0.004619
781,0.079734,0.00498,0.004092
782,0.077043,0.001165,0.000888
783,0.116577,0.022,0.01469
784,0.075892,0.003177,0.002566
785,0.092982,0.008573,0.006797
786,0.086268,0.008087,0.006353
787,0.080816,0.007602,0.006034
788,0.077584,0.001151,0.000805
789,0.081482,0.007338,0.005909
790,0.077792,0.003787,0.002774
791,0.078208,0.005216,0.0043
792,0.079443,0.004938,0.004023
793,0.083674,0.009655,0.007782
794,0.093092,0.018297,0.01659
795,0.076322,0.001706,0.001262
796,0.076252,0.003357,0.002663
797,0.078111,0.003357,0.002663
798,0.077792,0.001248,0.000832
799,0.088348,0.01451,0.013372
800,0.078278,0.003773,0.00276
801,0.076807,0.00197,0.001207
802,0.075919,0.001082,0.000805
803,0.082758,0.007158,0.005743
804,0.076197,0.003066,0.00233
805,0.07628,0.003246,0.002594
806,0.077209,0.000832,0.000513
807,0.078805,0.003052,0.002261
808,0.077168,0.001137,0.000513
809,0.0756,0.000957,0.000624
810,0.081191,0.007407,0.006048
811,0.081898,0.007574,0.006076
812,0.081926,0.00412,0.00308
813,0.077098,0.001082,0.000818
