,0,400,800,1200,1600,2000,
592,0.013206,0.000097,0.000042,0.000069,0.000055,0.000055,0
594,0.012817,0.000097,0.000125,0.000042,0.000055,0.000028,0.000028
596,0.012318,0.000139,0.000083,0.000042,0.000055,0.000028,0.000028
598,0.01279,0.000055,0.000042,0.000055,0.000042,0.000014,0.000069
600,0.012956,0.000055,0.000055,0.000028,0.000083,0.000055,0.000069
602,0.013095,0.000111,0.000042,0.000042,0.000097,0.000042,0.000028
604,0.013317,0.000097,0.000055,0.000055,0.000055,0.000042,0.000028
606,0.013358,0.000097,0.000055,0.000055,0.000055,0.000028,0.000042
608,0.013331,0.000111,0.000055,0.000014,0.000083,0.000042,0.000014
610,0.013331,0.000055,0.000097,0.000055,0.000055,0.000083,0.000028
612,0.01734,0.000083,0.000097,0.000069,0.000042,0.000014,0.000042
614,0.027244,0.000097,0.000069,0.000014,0.000055,0.000055,0.000014
616,0.036968,0.000097,0.000111,0.000014,0.000028,0.000083,0.000069
618,0.043016,0.000083,0.000069,0.000069,0.000028,0.000097,0.000014
620,0.051117,0.000083,0.000028,0.000014,0.000111,0.000028,0.000014
622,0.055736,0.000055,0.000069,0.000028,0.000083,0.000042,0.000014
624,0.055278,0.000111,0.000028,0.000055,0.000042,0.000055,0.000042
626,0.054932,0.000083,0.000055,0.000042,0.000083,0.000028,0.000014
628,0.055265,0.000014,0.000014,0.000069,0.000014,0.000014,0.000028
630,0.057872,0.000125,0.000042,0,0.000083,0.000042,0.000028
632,0.058705,0.000083,0.000055,0.000055,0.000028,0.000042,0.000042
634,0.055126,0.000083,0.000028,0.000055,0.000028,0,0.000014
636,0.05765,0.000125,0.000069,0.000083,0.000153,0,0
638,0.052338,0.000069,0.000055,0.000042,0.000042,0.000014,0.000028
640,0.046595,0.000097,0.000042,0.000042,0.000042,0.000055,0.000055
642,0.0426,0.000069,0.000055,0.000028,0.000055,0.000028,0.000014
644,0.037453,0.000055,0.000042,0.000055,0.000028,0.000028,0.000042
646,0.032598,0.000069,0.000028,0.000014,0.000055,0.000014,0.000014
648,0.029588,0.000028,0.000055,0.000069,0.000083,0.000014,0.000014
650,0.02447,0.000042,0.000042,0.000042,0.000028,0.000028,0.000014
652,0.020322,0.000069,0.000069,0.000028,0.000028,0,0.000014
654,0.015703,0.000028,0.000042,0.000028,0.000042,0.000028,0.000042
656,0.014274,0.000014,0.000014,0.000028,0.000028,0.000042,0.000014
658,0.010806,0.000028,0.000028,0.000028,0.000014,0.000014,0.000028
660,0.008739,0.000042,0.000028,0.000028,0.000028,0.000014,0
662,0.007324,0.000028,0,0.000042,0.000028,0.000042,0
664,0.005285,0.000028,0,0.000014,0.000069,0.000014,0.000028
666,0.004203,0.000083,0.000042,0.000014,0.000014,0.000014,0.000014
668,0.003523,0.000014,0.000014,0.000028,0.000014,0.000014,0.000042
670,0.00276,0.000069,0.000028,0.000028,0.000028,0.000014,0
672,0.002372,0.000028,0.000042,0.000014,0.000042,0.000014,0.000014
674,0.001859,0.000028,0.000014,0.000042,0.000014,0.000014,0.000028
676,0.001623,0.000028,0,0.000014,0.000028,0.000028,0.000028
678,0.001373,0.000083,0.000028,0.000014,0,0.000028,0.000014
680,0.001401,0.000097,0.000014,0,0.000028,0.000028,0
682,0.000999,0.000028,0,0.000028,0.000014,0.000014,0
684,0.001068,0.000055,0,0.000014,0.000028,0,0
686,0.000916,0.000014,0.000042,0,0,0,0
688,0.000749,0.000014,0.000014,0.000028,0.000055,0.000028,0.000042
690,0.000929,0.000028,0.000014,0,0.000014,0.000014,0.000014
