,over 400us,over 1ms,over 1.5ms,over 2ms
2450,4.138273,2.805513,2.351279,2.019448
2455,4.277413,2.941261,2.458722,2.072459
2460,4.212024,2.858261,2.400081,2.0558
2465,4.346733,3.05841,2.582972,2.220263
2470,4.216232,2.917969,2.447483,2.104624
2475,4.319259,2.941802,2.469096,2.124669
2480,4.232355,2.929921,2.460393,2.117228
2485,4.329493,3.006259,2.528289,2.173687
2490,4.309325,2.965976,2.488991,2.12171
2495,4.353695,2.994162,2.515518,2.16808
2500,4.314427,3.002071,2.514584,2.132556
2505,4.42756,3.033964,2.552899,2.197803
2510,4.847036,3.461235,2.976557,2.597199
2515,4.827519,3.462006,2.971459,2.577918
2520,4.931898,3.507519,3.021967,2.649635
2525,4.862021,3.506439,3.013409,2.639059
2530,4.505955,3.123739,2.627685,2.209659
2535,4.268554,3.030673,2.546792,2.177616
2540,4.289855,3.049199,2.564069,2.190378
2545,4.373503,3.071097,2.588713,2.227964
2550,4.493973,3.238502,2.74027,2.355509
2555,4.387369,3.201701,2.686538,2.209134
2560,4.404384,3.21694,2.7015,2.22988
2565,4.375268,3.186325,2.669089,2.197774
2570,4.052303,2.857882,2.371448,2.01495
2575,4.161032,2.959106,2.458134,2.024863
2580,4.472595,3.287466,2.765485,2.296522
2585,4.199243,2.998377,2.498085,2.09683
2590,4.437708,3.242356,2.721609,2.214575
2595,4.493288,3.300598,2.7732,2.254887
2600,4.59251,3.182728,2.658083,2.124512
2605,4.7072,3.382422,2.855294,2.343945
2610,4.612636,3.361518,2.835416,2.30131
2615,4.685816,3.336451,2.805106,2.258342
2620,4.632126,3.233863,2.707754,2.19268
2625,4.47262,3.139582,2.632637,2.212572
2630,4.73439,3.340115,2.806217,2.242189
2635,4.560043,3.381016,2.8597,2.438968
2640,4.703668,3.515859,2.982301,2.525717
2645,4.872621,3.508321,2.97418,2.442161
2650,4.720952,3.394918,2.848243,2.267445
2655,4.765324,3.47007,2.937025,2.507463
2660,4.52317,3.316655,2.792931,2.322018
2665,4.913735,3.515121,2.978413,2.427161
2670,4.545956,3.179006,2.670187,2.253214
2675,4.889352,3.590136,3.045042,2.449198
2680,4.945034,3.653559,3.114131,2.629609
2685,4.942075,3.582211,3.054297,2.558413
2690,4.809778,3.498639,2.945478,2.343503
2695,5.08278,3.689158,3.144923,2.638281
2700,5.062918,3.713061,3.165088,2.629245
2705,5.065826,3.731609,3.182214,2.655707
2710,5.088986,3.659899,3.12081,2.650991
2715,5.133405,3.741203,3.195088,2.707499
2720,4.989852,3.761752,3.208916,2.707142
2725,4.994894,3.713638,3.166392,2.688789
2730,5.036033,3.745995,3.188331,2.574818
2735,4.990054,3.587425,3.030538,2.423233
2740,5.111146,3.743417,3.17779,2.536325
2745,4.785466,3.391049,2.867329,2.440151
2750,4.718218,3.414099,2.887951,2.46053
2755,5.231983,3.882772,3.325024,2.82132
2760,5.218684,3.832427,3.28176,2.758649
2765,5.151664,3.793879,3.221647,2.573689
2770,5.2909,3.909906,3.341385,2.721212
2775,5.349934,3.978081,3.411779,2.884361
2780,5.247353,3.861676,3.289423,2.639543
2785,5.098121,3.787262,3.215688,2.587295
2790,5.224431,3.894949,3.342325,2.862313
2795,5.299559,3.926775,3.353675,2.734555
2800,5.37285,4.002117,3.432194,2.838764
2805,5.310262,4.016657,3.44142,2.835068
2810,5.321096,4.064959,3.488474,2.965097
2815,5.505785,4.035172,3.463049,2.878975
2820,5.39747,4.110383,3.530082,2.92633
2825,5.451886,4.083286,3.505627,2.93564
2830,5.51277,4.114782,3.540661,3.019981
2835,5.491089,4.179217,3.596362,3.011503
2840,5.359734,4.141796,3.553601,2.972397
2845,5.020102,3.736632,3.217512,2.746937
2850,5.394583,4.058391,3.463973,2.787709
2855,5.366715,3.938475,3.361445,2.790443
2860,5.686105,4.253897,3.665236,3.12675
2865,5.583472,4.270077,3.681492,3.077154
2870,5.653467,4.276225,3.692383,3.09992
2875,5.344267,3.936332,3.364948,2.847276
2880,5.422489,3.991921,3.41654,2.8573
2885,5.444314,4.095507,3.494581,2.862997
2890,5.274791,4.025898,3.445946,2.892525
2895,5.66972,4.379943,3.782845,3.144684
2900,5.677744,4.37451,3.777383,3.142856
2905,5.750304,4.340842,3.741619,3.062839
2910,5.772198,4.404649,3.808263,3.258577
2915,5.760618,4.428115,3.838463,3.276305
2920,6.260614,4.905891,4.207873,3.487112
2925,6.319411,4.994309,4.300417,3.589289
2930,6.324102,4.998908,4.297115,3.492021
2935,6.367174,5.109945,4.478039,3.879205
2940,6.463106,5.149568,4.531916,3.962941
2945,6.421194,5.086681,4.389033,3.710737
2950,6.616919,5.166208,4.475641,3.752626
2955,6.591268,5.20056,4.503382,3.787851
2960,6.534992,5.198261,4.494187,3.738003
2965,6.645478,5.218369,4.516834,3.779696
2970,6.67629,5.258294,4.558306,3.836809
2975,6.524264,5.109424,4.407431,3.665625
2980,5.954668,4.641986,3.983603,3.328278
2985,6.038015,4.651248,4.004406,3.413157
2990,6.204205,4.719935,4.065041,3.462743
2995,6.321481,4.827888,4.152788,3.483791
3000,6.791962,5.41217,4.696222,3.972498
3005,6.309947,4.844376,4.171113,3.520796
3010,6.21721,4.871774,4.195994,3.542368
3015,6.161588,4.775298,4.130113,3.534266
3020,6.326741,4.972773,4.2742,3.569822
3025,6.338327,4.889624,4.222409,3.586193
3030,6.229686,4.865965,4.211569,3.604831
3035,6.691552,5.324771,4.577373,3.690475
